Id,Label
a524,Natalie Portman
a525,Christopher Nolan
a526,Lukas Haas
a527,Jonathan Nolan
a528,Sylvia Sidney
a529,Guy Pearce
a530,Carrie-Anne Moss
a531,Danny Elfman
a532,Joe Pantoliano
a534,Mark Boone Junior
a535,Russ Fega
a536,Jorja Fox
a537,Stephen Tobolowsky
a538,Harriet Sansom Harris
a539,Thomas Lennon
a540,Callum Keith Rennie
a542,Kimberly Campbell
a543,Marianne Muellerleile
a544,Larry Holden
a545,Matthew Barry
a547,Victoria Thomas
a550,Jennifer Todd
a557,Colleen Atwood
a559,Wally Pfister
a563,Dody Dorn
a564,Richard Linklater
a568,Kim Krizan
a569,Ethan Hawke
a571,Andrea Eckert
a572,Hanno Pöschl
a573,Karl Bruckschwaiger
a574,Tex Rubinowitz
a577,Fred Frith
a578,Ridley Scott
a580,Sandra Adair
a581,Michael Deeley
a583,Hampton Fancher
a585,Rutger Hauer
a586,Sean Young
a587,Edward James Olmos
a588,M. Emmet Walsh
a589,Daryl Hannah
a590,William Sanderson
a591,Brion James
a592,Joe Turkel
a593,Joanna Cassidy
a605,Michael Kaplan
a608,Hayao Miyazaki
a613,Sumi Shimamoto
a614,Mahito Tsujimura
a615,Hisako Kyouda
a616,Gorō Naya
a617,Ichirō Nagai
a618,Kōhei Miyauchi
a619,Jōji Yanami
a620,Minoru Yada
a621,Rihoko Yoshida
a622,Yōji Matsuda
a623,Mîna Tominaga
a624,Yoshiko Sakakibara
a625,Iemasa Kayumi
a626,Tetsuo Mizutori
a628,Isao Takahata
a636,Joe Hisaishi
a638,Michael Mann
a639,Pieter Jan Brugge
a643,Gong Li
a644,Blanchard Ryan
a646,Daniel Travis
a647,Dion Beebe
a649,Vernon Dobtcheff
a650,Karen Allen
a651,Louise Lemoine Torrès
a652,Paul Freeman
a653,Ronald Lacey
a654,Rodolphe Pauly
a655,John Rhys-Davies
a656,Denholm Elliott
a657,Mariane Plasteig
a658,Alfred Molina
a659,Wolf Kahler
a660,Anthony Higgins
a661,Vic Tablian
a662,Don Fellows
a663,William Hootkins
a664,Frank Marshall
a665,Howard G. Kazanjian
a670,Ben Burtt
a675,Christian Ulmen
a677,Moritz Bleibtreu
a678,Martina Gedeck
a679,Franka Potente
a680,Corinna Harfouch
a681,Nina Hoss
a682,Uwe Ochsenknecht
a683,Jasmin Tabatabai
a684,Tom Schilling
a685,Nina Kronjäger
a687,Gloria Katz
a688,Hermann Beyer
a689,Kate Capshaw
a690,Jonathan Ke Quan
a691,Amrish Puri
a692,Jennifer Ulrich
a693,Roshan Seth
a694,Philip Stone
a695,Roy Chiao
a696,David Yip
a697,Michael Gwisdek
a699,Chua Kah Joo
a701,Rex Ngui
a702,Philip Tan
a707,Dan Aykroyd
a710,An Dorthe Braker
a711,Robert Watts
a714,Ulrike Kriener
a722,Jennifer Grey
a723,Patrick Swayze
a724,Cynthia Rhodes
a725,Jerry Orbach
a726,Jack Weston
a727,Jane Brucker
a728,Kelly Bishop
a729,Lonny Price
a730,Max Cantor
a733,Alvin Myerovich
a734,Paula Trueman
a735,Arthur F. Repola
a737,Jeffrey Boam
a738,Sean Connery
a739,Alison Doody
a740,Julian Glover
a741,River Phoenix
a742,Michael Byrne
a743,Kevork Malikyan
a744,Robert Eddison
a745,Richard Young
a746,Alexei Sayle
a747,Alex Hyde-White
a748,Paul Maxwell
a749,Isla Blair
a752,Judy Taylor
a762,Ali Suliman
a764,Amer Hlehel
a765,Hiam Abbass
a766,Ashraf Barhom
a769,Martin Brest
a771,Don Simpson
a776,Eddie Murphy
a777,Judge Reinhold
a778,John Ashton
a779,Lisa Eilbacher
a780,Ronny Cox
a781,Paul Reiser
a782,Steven Berkoff
